No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
8078,1997-10-18 09:18:53,0, ,39.8034,28.6668,4.70,-,5,ISC,Ml,4.4,32,THE,-
7680,1996-04-14 08:31:07,0, ,40.7867,27.4739,19.90,-,5,ISC,mb,4.0,5,ISC,-
7668,1996-03-21 13:02:21,0, ,40.2520,29.5740,15.00,-,41,EHB,mb,4.0,5,ISC,-
7651,1996-02-22 15:28:29,0, ,40.2700,25.9600,10.00,-,6,Kalafat ve Di?.2011,mb,4.1,6,Kalafat ve Di?.2011,-
7610,1995-10-28 10:45:01,0, ,40.8354,27.9717,24.80,-,5,ISC,mb,4.0,5,ISC,-
7569,1995-08-19 19:57:13,0, ,40.2287,29.6105,16.10,-,5,ISC,mb,4.2,5,ISC,-
7549,1995-07-07 18:15:57,0, ,40.4849,29.3264,8.70,-,5,ISC,mb,4.1,5,ISC,-
7499,1995-04-18 05:36:04,0, ,40.8648,27.7453,22.30,-,5,ISC,mb,4.7,5,ISC,-
7496,1995-04-13 04:08:03,0, ,40.8500,27.7400,22.60,-,41,EHB,mb,4.8,5,ISC,-
7446,1995-02-08 21:24:52,0, ,40.8032,27.7735,10.00,-,5,ISC,mb,4.4,5,ISC,-
7357,1994-06-22 16:43:59,0, ,40.1659,27.4254,8.60,-,5,ISC,Ml,4.0,32,THE,-
7356,1994-06-20 01:36:16,0, ,40.5711,27.3396,11.60,-,5,ISC,mb,4.1,5,ISC,-
7348,1994-05-28 18:01:19,0, ,40.6889,29.8780,9.80,-,5,ISC,mb,4.0,12,MOS,-
7324,1994-04-06 15:33:08,0, ,40.0729,28.1002,6.90,-,5,ISC,Ml,4.0,32,THE,-
7321,1994-03-28 16:59:01,0, ,40.3946,29.9607,17.30,-,5,ISC,mb,4.0,14,NEIC,-
7304,1994-02-21 04:36:21,0, ,40.2039,29.3188,2.40,-,5,ISC,mb,4.0,5,ISC,-
7288,1994-01-26 03:21:38,0, ,40.7309,27.3270,10.00,*,5,ISC,Ml,4.0,32,THE,-
7286,1994-01-22 07:48:45,0, ,40.7778,27.4859,10.70,-,5,ISC,Ml,4.0,32,THE,-
7275,1993-12-12 17:21:27,0, ,41.5494,28.7860,28.20,-,5,ISC,mb,4.9,5,ISC,-
7242,1993-09-02 21:03:41,0, ,40.1918,27.2555,9.10,-,5,ISC,Ml,4.4,32,THE,-
